
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        0
 10  2.28003  0 
 9.79798  2.28272  0 
 9.59596  2.28641  0 
 9.39394  2.2912  0 
 9.19192  2.29721  0 
 8.9899  2.3046  0 
 8.78788  2.31353  0 
 8.60364  2.32323  0 
 8.58586  2.32424  0 
 8.38384  2.33737  0 
 8.18182  2.35288  0 
 7.9798  2.37114  0 
 7.77778  2.39261  0 
 7.57576  2.41783  0 
 7.37374  2.44748  0 
 7.17172  2.48243  0 
 6.9697  2.52376  0 
 6.96311  2.52525  0 
 6.76768  2.57589  0 
 6.56566  2.63897  0 
 6.36364  2.71596  0 
 6.33748  2.72727  0 
 6.16162  2.8187  0 
 5.9901  2.92929  0 
 5.9596  2.95394  0 
 5.77574  3.13131  0 
 5.75758  3.15478  0 
 5.63868  3.33333  0 
 5.55556  3.52228  0 
 5.55051  3.53535  0 
 5.49679  3.73737  0 
 5.46736  3.93939  0 
 5.45618  4.14141  0 
 5.45907  4.34343  0 
 5.47303  4.54545  0 
 5.49585  4.74747  0 
 5.52588  4.94949  0 
 5.55556  5.11431  0 
 5.5619  5.15152  0 
 5.6031  5.35354  0 
 5.64847  5.55556  0 
 5.69739  5.75758  0 
 5.74935  5.9596  0 
 5.75758  5.98885  0 
 5.80418  6.16162  0 
 5.86132  6.36364  0 
 5.92044  6.56566  0 
 5.9596  6.69368  0 
 5.98141  6.76768  0 
 6.04409  6.9697  0 
 6.10813  7.17172  0 
 6.16162  7.33621  0 
 6.17343  7.37374  0 
 6.24001  7.57576  0 
 6.30756  7.77778  0 
 6.36364  7.94236  0 
 6.37602  7.9798  0 
 6.44546  8.18182  0 
 6.51561  8.38384  0 
 6.56566  8.52542  0 
 6.58645  8.58586  0 
 6.65804  8.78788  0 
 6.73016  8.9899  0 
 6.76768  9.09291  0 
 6.80285  9.19192  0 
 6.8761  9.39394  0 
 6.94974  9.59596  0 
 6.9697  9.64941  0 
 7.0239  9.79798  0 
 7.09845  10  0 

-5.55556  0.61647  0 
-5.75758  0.612466  0 
-5.9596  0.608114  0 
-6.16162  0.603438  0 
-6.36364  0.598461  0 
-6.56566  0.593201  0 
-6.76768  0.587678  0 
-6.9697  0.581908  0 
-7.17172  0.575906  0 
-7.37374  0.569686  0 
-7.57576  0.563262  0 
-7.77778  0.556646  0 
-7.9798  0.549848  0 
-8.18182  0.542878  0 
-8.38384  0.535747  0 
-8.58586  0.528462  0 
-8.78788  0.521033  0 
-8.9899  0.513466  0 
-9.19192  0.505769  0 
-9.2102  0.505051  0 
-9.39394  0.497852  0 
-9.59596  0.489808  0 
-9.79798  0.481655  0 
-10  0.473398  0 

-1.67653 -10  0 
-1.59834 -9.79798  0 
-1.52026 -9.59596  0 
-1.51515 -9.58249  0 
-1.44244 -9.39394  0 
-1.36475 -9.19192  0 
-1.31313 -9.05658  0 
-1.28724 -8.9899  0 
-1.21 -8.78788  0 
-1.1329 -8.58586  0 
-1.11111 -8.52775  0 
-1.0561 -8.38384  0 
-0.979535 -8.18182  0 
-0.909091 -7.99517  0 
-0.903172 -7.9798  0 
-0.827197 -7.77778  0 
-0.751449 -7.57576  0 
-0.707071 -7.45585  0 
-0.676029 -7.37374  0 
-0.600999 -7.17172  0 
-0.526261 -6.9697  0 
-0.505051 -6.91106  0 
-0.451993 -6.76768  0 
-0.378135 -6.56566  0 
-0.304657 -6.36364  0 
-0.30303 -6.35902  0 
-0.231814 -6.16162  0 
-0.159435 -5.9596  0 
-0.10101 -5.7945  0 
-0.0875993 -5.75758  0 
-0.0165095 -5.55556  0 
 0.0539706 -5.35354  0 
