
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        0
 10  2.17814  0 
 9.79798  2.17735  0 
 9.59596  2.17731  0 
 9.39394  2.17811  0 
 9.19192  2.17982  0 
 8.9899  2.18257  0 
 8.78788  2.18648  0 
 8.58586  2.19171  0 
 8.38384  2.19842  0 
 8.18182  2.20682  0 
 7.9798  2.21718  0 
 7.77778  2.22978  0 
 7.57576  2.245  0 
 7.37374  2.2633  0 
 7.17172  2.28523  0 
 6.9697  2.31151  0 
 6.89143  2.32323  0 
 6.76768  2.34423  0 
 6.56566  2.38476  0 
 6.36364  2.4343  0 
 6.16162  2.49544  0 
 6.07791  2.52525  0 
 5.9596  2.57611  0 
 5.75758  2.68377  0 
 5.69009  2.72727  0 
 5.55556  2.84044  0 
 5.46925  2.92929  0 
 5.35354  3.10066  0 
 5.33604  3.13131  0 
 5.25667  3.33333  0 
 5.21215  3.53535  0 
 5.19223  3.73737  0 
 5.19031  3.93939  0 
 5.20195  4.14141  0 
 5.22409  4.34343  0 
 5.25449  4.54545  0 
 5.29153  4.74747  0 
 5.33397  4.94949  0 
 5.35354  5.03081  0 
 5.38106  5.15152  0 
 5.432  5.35354  0 
 5.48607  5.55556  0 
 5.54281  5.75758  0 
 5.55556  5.79958  0 
 5.60207  5.9596  0 
 5.66336  6.16162  0 
 5.72636  6.36364  0 
 5.75758  6.4593  0 
 5.79099  6.56566  0 
 5.85707  6.76768  0 
 5.92429  6.9697  0 
 5.9596  7.07232  0 
 5.99266  7.17172  0 
 6.06207  7.37374  0 
 6.13227  7.57576  0 
 6.16162  7.65769  0 
 6.20334  7.77778  0 
 6.27516  7.9798  0 
 6.34754  8.18182  0 
 6.36364  8.22534  0 
 6.42064  8.38384  0 
 6.49425  8.58586  0 
 6.56566  8.78051  0 
 6.56829  8.78788  0 
 6.64294  8.9899  0 
 6.71792  9.19192  0 
 6.76768  9.32418  0 
 6.7933  9.39394  0 
 6.8691  9.59596  0 
 6.94516  9.79798  0 
 6.9697  9.86186  0 
 7.0216  10  0 

-4.54545  0.717487  0 
-4.74747  0.71337  0 
-4.94949  0.708872  0 
-5.02335  0.707071  0 
-5.15152  0.70396  0 
-5.35354  0.698683  0 
-5.55556  0.693104  0 
-5.75758  0.687244  0 
-5.9596  0.681124  0 
-6.16162  0.674762  0 
-6.36364  0.668175  0 
-6.56566  0.661376  0 
-6.76768  0.65438  0 
-6.9697  0.647199  0 
-7.17172  0.639845  0 
-7.37374  0.632329  0 
-7.57576  0.624659  0 
-7.77778  0.616846  0 
-7.9798  0.608897  0 
-8.18182  0.600819  0 
-8.38384  0.592621  0 
-8.58586  0.584308  0 
-8.78788  0.575886  0 
-8.9899  0.567362  0 
-9.19192  0.558741  0 
-9.39394  0.550027  0 
-9.59596  0.541225  0 
-9.79798  0.532339  0 
-10  0.523374  0 

-1.61933 -10  0 
-1.54006 -9.79798  0 
-1.51515 -9.73361  0 
-1.46097 -9.59596  0 
-1.382 -9.39394  0 
-1.31313 -9.21715  0 
-1.30313 -9.19192  0 
-1.22449 -8.9899  0 
-1.14594 -8.78788  0 
-1.11111 -8.69713  0 
-1.0676 -8.58586  0 
-0.989439 -8.38384  0 
-0.911399 -8.18182  0 
-0.909091 -8.1757  0 
-0.833675 -7.9798  0 
-0.756099 -7.77778  0 
-0.707071 -7.64876  0 
-0.678751 -7.57576  0 
-0.601702 -7.37374  0 
-0.524839 -7.17172  0 
-0.505051 -7.1186  0 
-0.448336 -6.9697  0 
