
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        0
-5.9596  1.4899  0 
-6.06061  1.51515  0 
-6.16162  1.5404  0 
-6.36364  1.59091  0 
-6.56566  1.64141  0 
-6.76768  1.69192  0 
-6.86869  1.71717  0 
-6.9697  1.74242  0 
-7.17172  1.79293  0 
-7.37374  1.84343  0 
-7.57576  1.89394  0 
-7.67677  1.91919  0 
-7.77778  1.94444  0 
-7.9798  1.99495  0 
-8.18182  2.04545  0 
-8.38384  2.09596  0 
-8.48485  2.12121  0 
-8.58586  2.14646  0 
-8.78788  2.19697  0 
-8.9899  2.24747  0 
-9.19192  2.29798  0 
-9.29293  2.32323  0 
-9.39394  2.34848  0 
-9.59596  2.39899  0 
-9.79798  2.44949  0 
-10  2.5  0 

 10 -2.5  0 
 9.79798 -2.44949  0 
 9.59596 -2.39899  0 
 9.39394 -2.34848  0 
 9.29293 -2.32323  0 
 9.19192 -2.29798  0 
 8.9899 -2.24747  0 
 8.78788 -2.19697  0 
 8.58586 -2.14646  0 
 8.48485 -2.12121  0 
 8.38384 -2.09596  0 
 8.18182 -2.04545  0 
 7.9798 -1.99495  0 
 7.77778 -1.94444  0 
 7.67677 -1.91919  0 
 7.57576 -1.89394  0 
 7.37374 -1.84343  0 
 7.17172 -1.79293  0 
 6.9697 -1.74242  0 
 6.86869 -1.71717  0 
 6.76768 -1.69192  0 
 6.56566 -1.64141  0 
 6.36364 -1.59091  0 
 6.16162 -1.5404  0 
 6.06061 -1.51515  0 
 5.9596 -1.4899  0 
 5.75758 -1.43939  0 
 5.55556 -1.38889  0 
 5.35354 -1.33838  0 
 5.25253 -1.31313  0 
 5.15152 -1.28788  0 
 4.94949 -1.23737  0 
 4.74747 -1.18687  0 
 4.54545 -1.13636  0 
 4.44444 -1.11111  0 
 4.34343 -1.08586  0 
 4.14141 -1.03535  0 
 3.93939 -0.984848  0 
 3.73737 -0.934343  0 
 3.63636 -0.909091  0 
 3.53535 -0.883838  0 
 3.33333 -0.833333  0 
 3.13131 -0.782828  0 
 2.92929 -0.732323  0 
 2.82828 -0.707071  0 
 2.72727 -0.681818  0 
 2.52525 -0.631313  0 
 2.32323 -0.580808  0 
 2.12121 -0.530303  0 
 2.0202 -0.505051  0 
 1.91919 -0.479798  0 
 1.71717 -0.429293  0 
 1.51515 -0.378788  0 
 1.31313 -0.328283  0 
 1.21212 -0.30303  0 
 1.11111 -0.277778  0 
 0.909091 -0.227273  0 
 0.707071 -0.176768  0 
 0.505051 -0.126263  0 
 0.40404 -0.10101  0 
 0.30303 -0.0757576  0 
 0.10101 -0.0252525  0 
-0.10101  0.0252525  0 
-0.30303  0.0757576  0 
-0.40404  0.10101  0 
-0.505051  0.126263  0 
-0.707071  0.176768  0 
-0.909091  0.227273  0 
-1.11111  0.277778  0 
-1.21212  0.30303  0 
-1.31313  0.328283  0 
-1.51515  0.378788  0 
-1.71717  0.429293  0 
-1.91919  0.479798  0 
-2.0202  0.505051  0 
-2.12121  0.530303  0 
-2.32323  0.580808  0 
-2.52525  0.631313  0 
-2.72727  0.681818  0 
-2.82828  0.707071  0 
-2.92929  0.732323  0 
-3.13131  0.782828  0 
-3.33333  0.833333  0 
-3.53535  0.883838  0 
-3.63636  0.909091  0 
-3.73737  0.934343  0 
-3.93939  0.984848  0 
-4.14141  1.03535  0 
-4.34343  1.08586  0 
-4.44444  1.11111  0 
-4.54545  1.13636  0 
-4.74747  1.18687  0 
-4.94949  1.23737  0 
-5.15152  1.28788  0 
-5.25253  1.31313  0 
-5.35354  1.33838  0 
-5.55556  1.38889  0 
-5.75758  1.43939  0 
-5.9596  1.4899  0 

