1 -8.33 0.002
2 -7.99 0.004
3 -7.65 0.002
4 -7.31 0.008
5 -6.97 0.006
6 -6.63 0.005
7 -6.29 0.015
8 -5.95 0.009
9 -5.61 0.013
10 -5.27 0.012
11 -4.93 0.021
12 -4.59 0.024
13 -4.25 0.024
14 -3.91 0.026
15 -3.57 0.031
16 -3.23 0.031
17 -2.89 0.022
18 -2.55 0.029
19 -2.21 0.036
20 -1.87 0.035
21 -1.53 0.034
22 -1.19 0.027
23 -0.85 0.027
24 -0.51 0.031
25 -0.17 0.036
26 0.17 0.029
27 0.51 0.039
28 0.850000000000001 0.025
29 1.19 0.031
30 1.53 0.033
31 1.87 0.03
32 2.21 0.024
33 2.55 0.023
34 2.89 0.027
35 3.23 0.03
36 3.57 0.03
37 3.91 0.015
38 4.25 0.027
39 4.59 0.019
40 4.93 0.024
41 5.27 0.022
42 5.61 0.011
43 5.95 0.009
44 6.29 0.009
45 6.63 0.007
46 6.97 0.011
47 7.31 0.006
48 7.65 0.003
49 7.99 0.004
50 8.33 0.002
