
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        1
 0.0615616 -0.938438  1 
 0.0591182 -0.940882  1 
 0.0585586 -0.941441  1 
 0.0555556 -0.944444  1 
 0.0531062 -0.946894  1 
 0.0525526 -0.947447  1 
 0.0495495 -0.95045  1 
 0.0470942 -0.952906  1 
 0.0465465 -0.953453  1 
 0.0435435 -0.956456  1 
 0.0410822 -0.958918  1 
 0.0405405 -0.959459  1 
 0.0375375 -0.962462  1 
 0.0350701 -0.96493  1 
 0.0345345 -0.965465  1 
 0.0315315 -0.968468  1 
 0.0290581 -0.970942  1 
 0.0285285 -0.971471  1 
 0.0255255 -0.974474  1 
 0.0230461 -0.976954  1 
 0.0225225 -0.977477  1 
 0.0195195 -0.98048  1 
 0.0170341 -0.982966  1 
 0.0165165 -0.983483  1 
 0.0135135 -0.986486  1 
 0.011022 -0.988978  1 
 0.0105105 -0.989489  1 
 0.00750751 -0.992492  1 
 0.00501002 -0.99499  1 
 0.0045045 -0.995495  1 
 0.0015015 -0.998498  1 
-0.0015015 -0.998498  1 
-0.0045045 -0.995495  1 

 0.257515 -0.742485  1 
 0.256757 -0.743243  1 
 0.253754 -0.746246  1 
 0.251503 -0.748497  1 
 0.250751 -0.749249  1 
 0.247748 -0.752252  1 
 0.245491 -0.754509  1 
 0.244745 -0.755255  1 
 0.241742 -0.758258  1 
 0.239479 -0.760521  1 
 0.238739 -0.761261  1 
 0.235736 -0.764264  1 
 0.233467 -0.766533  1 
 0.232733 -0.767267  1 
 0.22973 -0.77027  1 
 0.227455 -0.772545  1 
 0.226727 -0.773273  1 
 0.223724 -0.776276  1 
 0.221443 -0.778557  1 
 0.220721 -0.779279  1 
 0.217718 -0.782282  1 
 0.215431 -0.784569  1 
 0.214715 -0.785285  1 
 0.211712 -0.788288  1 
 0.209419 -0.790581  1 
 0.208709 -0.791291  1 
 0.205706 -0.794294  1 
 0.203407 -0.796593  1 
 0.202703 -0.797297  1 
 0.1997 -0.8003  1 
