39 1040
276 1039
289 1036
317 1025
352 1000
382 976
418 946
446 923
462 911
476 903
489 897
503 894
517 894
537 895
559 898
585 902
606 904
623 904
636 902
647 895
661 883
674 873
686 862
698 851
710 838
723 828
733 817
745 806
757 795
770 785
781 779
796 772
810 768
825 767
839 768
854 771
869 774
886 778
903 782
916 785
933 790
948 795
969 800
987 805
1006 810
1024 815
1044 820
1067 827
1100 835
1131 843
1152 849
1179 854
1190 860
1218 867
1244 874
1264 879
1300 888
1336 897
1378 909
1410 918
1446 927
1482 937
1507 944
1540 953
1581 963
1613 973
1648 982
1676 989
1709 997
1737 1004
1779 1012
1828 1021
1864 1027
1897 1030
1927 1031
1953 1033
2005 1033
