1 -1.7003 0.014
2 -1.6309 0.03
3 -1.5615 0.018
4 -1.4921 0.015
5 -1.4227 0.02
6 -1.3533 0.02
7 -1.2839 0.022
8 -1.2145 0.02
9 -1.1451 0.016
10 -1.0757 0.02
11 -1.0063 0.016
12 -0.9369 0.027
13 -0.8675 0.016
14 -0.7981 0.023
15 -0.7287 0.018
16 -0.6593 0.025
17 -0.5899 0.033
18 -0.5205 0.013
19 -0.4511 0.016
20 -0.3817 0.019
21 -0.3123 0.021
22 -0.2429 0.015
23 -0.1735 0.029
24 -0.1041 0.018
25 -0.0347000000000002 0.012
26 0.0347 0.015
27 0.1041 0.03
28 0.1735 0.014
29 0.2429 0.021
30 0.3123 0.025
31 0.3817 0.015
32 0.4511 0.025
33 0.5205 0.019
34 0.5899 0.02
35 0.6593 0.025
36 0.7287 0.026
37 0.7981 0.02
38 0.8675 0.02
39 0.9369 0.015
40 1.0063 0.019
41 1.0757 0.029
42 1.1451 0.024
43 1.2145 0.012
44 1.2839 0.019
45 1.3533 0.021
46 1.4227 0.013
47 1.4921 0.025
48 1.5615 0.017
49 1.6309 0.015
50 1.7003 0.02
